Terminal;StationsID;Bez;Bezirk; Station; Lage; Boxen; Status
1803;1097;1180;1180;Michelbeuern;Waehringer Guertel vor 40Ecke Kreuzgasse;31;aktiv
1804;1111;1180;1180;Gertrudplatz;Gertrudplatz vor 4;24;aktiv
1806;1133;1180;1180;Gersthof;Simonygasse 12;26;aktiv
1807;1131;1180;1180;Aumannplatz;;24;aktiv
1901;1088;1190;1190;Gymnasiumstraﬂe;Gymasiumstraﬂe vor 85 (Studentenheim) Ecke Billrothstraﬂe;26;aktiv
2001;1046;1200;1200;Wallensteinplatz;Wallensteinplatz, Naehe Wallensteinstraﬂe;27;aktiv
2002;1054;1200;1200;Jaegerstrasse U6;Jaegerstrasse - Leipziger Strasse  U6 Station Jaegerstrasse;26;aktiv
2003;1083;1200;1200;Hellwagstrasse;Meldemannstraﬂe 26 Ecke Hellwagstraﬂe;30;aktiv
2004;1085;1200;1200;Traisengasse;Dresdnerstraﬂe vor 85 Ecke Traisengasse;24;aktiv
2005;1087;1200;1200;Millennium Tower;Am Maria Restituta Platz zwischen Rivergate und Schnellbahn;35;aktiv
2006;1093;1200;1200;Friedrich Engels Platz;zwischen Bus und Bim-Haltestelle;27;aktiv
